patient_id,name,dob,mobile,gender,abha_number,aadhaar_number,address,state
HA001,Dinesh Shah,2026-08-07,8524167277,M,81855225445036,274893044202,"House No 558, Street 19",West Bengal
HA002,Mahesh Kumar,1988-03-26,6815167987,F,67596273568627,592779300210,"House No 410, Street 13",Delhi
HA003,Sumit Gupta,1958-09-01,9000986266,Other,65697355590547,789427686616,"House No 561, Street 3",Tamil Nadu
HA004,Sobhit Singh,2026-08-15,9691836752,F,470174,052588520918,"House No 396, Street 17",Maharashtra
HA005,Rita Shah,1991-06-24,7673049809,F,75189330884544,804384183682,"House No 848, Street 4",Maharashtra
HA006,Sumit Singh,1965-07-26,7896679407,M,96242534244968,718450107796,"House No 205, Street 3",Tamil Nadu
HA007,Rohit Sharma,2024-05-15,937004953,M,16001881080309,491648500156,"House No 839, Street 17",Delhi
HA008,Jiya Verma,1967-01-14,702760553,F,408308,106400159611,"House No 25, Street 4",Bihar
HA009,Rohit Malhotra,2012-07-16,9185209329,F,36579437458503,077889202940,"House No 951, Street 11",Maharashtra
HA010,Mohit Verma,1962-07-25,6279802372,M,81492278912084,972923074337,"House No 305, Street 4",Tamil Nadu
HA011,Ainta Patel,1893-04-12,7608022343,M,65907601235570,329399887142,"House No 130, Street 9",Delhi
HA012,Dinesh Verma,1946-05-30,832178696,F,43438151772516,964696586921,"House No 530, Street 4",Tamil Nadu
HA013,iDya Yadav,1939-01-28,8049897691,F,21070106902170,182277011075,"House No 108, Street 17",Delhi
HA014,Siya Banerjee,1976-03-04,834824705,M,43729884328704,318664169104,"House No 673, Street 6",Karnataka
HA015,Sobhit Kumar,1986-07-19,9770704952,Other,38796371895675,175112753552,"House No 890, Street 14",Maharashtra
HA016,Diya Singh,1897-08-09,889077662,F,44551679391675,501222003123,"House No 483, Street 1",Tamil Nadu
HA017,Riya Sharma,1991-12-10,8588700437,Other,74988689163536,287657561278,"House No 939, Street 12",Maharashtra
HA018,Rohit Malhotra,2005-10-26,8805912929,Other,77439886654987,872062502899,"House No 927, Street 10",Bihar
HA019,Anita Malhotra,1940-07-05,7430255423,F,20275480822793,625885735553,"House No 517, Street 4",West Bengal
HA020,Sobhit Shah,1995-03-20,9560525418,Other,581992,384967727640,"House No 212, Street 9",Delhi
