patient_id,name,dob,mobile,gender,abha_number,address,state
HC001,Priya Gupta,2011-10-18,6372444202,M,23900799237659,"House No 280, Street 17",Uttar Pradesh
HC002,Suresh Verma,1968-10-23,0836032554,F,44366954540035,"House No 806, Street 16",Tamil Nadu
HC003,Sita Yadav,1998-10-04,8120139282,F,37653112503810,"House No 96, Street 12",Bihar
HC004,Sita Malhotra,2000-01-08,6957171409,Other,73144624020048,"House No 813, Street 11",Bihar
HC005,Gita Kumar,1968-04-06,9460060252,M,76398420508000,"House No 768, Street 13",Karnataka
HC006,Nita Gupta,2026-06-14,7081155924,M,13351726351495,"House No 704, Street 20",Tamil Nadu
HC007,Siya Shah,2008-01-07,6453210253,F,35086895167452,"House No 666, Street 10",Delhi
HC008,Jiya Singh,1990-11-01,7054394482,Other,66936309271211,"House No 614, Street 7",Delhi
HC009,Mohit Verma,1942-06-14,712154883,F,66731507840369,"House No 790, Street 14",Delhi
HC010,Ramesh Malhotra,2026-10-30,0887713430,Other,82459649646935,"House No 268, Street 3",Tamil Nadu
HC011,Rohit Kumar,1949-04-26,9953285885,Other,718284,"House No 409, Street 18",Uttar Pradesh
HC012,Aimt Malhotra,2009-12-09,9851062883,F,26695871975327,"House No 856, Street 2",Tamil Nadu
HC013,iSya Singh,1993-02-12,697710838,Other,21575830744139,"House No 483, Street 20",Karnataka
HC014,Rita Gupta,2024-08-25,6230035186,Other,42166071113829,"House No 277, Street 18",Maharashtra
HC015,iSta Malhotra,1981-12-01,9422440721,M,54444196060402,"House No 374, Street 8",Uttar Pradesh
HC016,aRjesh Patel,2026-11-28,0842911016,F,80181331309262,"House No 28, Street 9",Maharashtra
HC017,Dinesh Singh,2005-02-17,763859878,Other,64171867087060,"House No 206, Street 4",West Bengal
HC018,Mohit Banerjee,1948-07-29,7184245383,M,58104258716236,"House No 49, Street 3",Uttar Pradesh
HC019,Syia Gupta,1945-05-12,98765ABCDE,F,83263861188227,"House No 680, Street 18",West Bengal
HC020,Diensh Banerjee,1959-05-06,6304142170,F,22907373803547,"House No 931, Street 10",Karnataka
