patient_id,name,dob,mobile,gender,abha_number,aadhaar_number,address,state
HD001,Mahesh Malhotra,2014-02-25,7295325340,M,16849374553228,676387606073,"House No 796, Street 8",West Bengal
HD002,Mahesh Patel,1953-08-18,98765ABCDE,Other,30705146339022,104689210153,"House No 533, Street 2",Tamil Nadu
HD003,Dinesh Malhotra,1986-02-10,8121957317,Other,360576,665521449860,"House No 259, Street 15",Bihar
HD004,Mahesh Patel,1996-07-22,7771041755,F,58677523639575,642545485551,"House No 723, Street 11",Tamil Nadu
HD005,Rohit Sharma,2014-11-15,8281480092,M,95378158155268,502149095151,"House No 411, Street 19",Uttar Pradesh
HD006,Anita Malhotra,2004-10-24,8610897464,M,23603201203325,581531451508,"House No 229, Street 20",Maharashtra
HD007,Dinesh Verma,1962-12-04,6830773947,F,89399952743193,034821513795,"House No 380, Street 20",Karnataka
HD008,Sumit Malhotra,1943-06-09,851103176,Other,50110128058647,785360134959,"House No 204, Street 10",West Bengal
HD009,Rohit Yadav,2011-05-31,7310279298,F,90876612253898,815055961273,"House No 795, Street 10",Maharashtra
HD010,Sumit Patel,1954-11-26,7889961151,F,81040207905804,212867506654,"House No 191, Street 2",Tamil Nadu
HD011,Nita Verma,1963-10-08,9343314136,Other,558526,055182841025,"House No 454, Street 2",Maharashtra
HD012,Sita Patel,1944-11-21,8670555878,F,79311346331655,607566694937,"House No 793, Street 1",West Bengal
HD013,Suersh Singh,1972-09-20,8447970759,F,36629886536164,211626383267,"House No 257, Street 1",Tamil Nadu
HD014,Siya Patel,2022-09-19,6358263194,M,96497945432031,814877494082,"House No 261, Street 3",Maharashtra
HD015,Amit Singh,2007-04-15,0906890931,Other,52640182994449,811662351560,"House No 760, Street 18",Uttar Pradesh
HD016,Aimt Kumar,1979-10-26,9740878250,M,78062091294911,725256790385,"House No 723, Street 2",Karnataka
HD017,Sohbit Banerjee,1949-07-25,9182694231,F,401622,974301654088,"House No 969, Street 18",Tamil Nadu
HD018,Rajesh Patel,1969-12-12,6342843234,Other,92619057139789,863812883987,"House No 370, Street 6",Bihar
HD019,Sumit Patel,2017-04-17,0888603323,M,41499430087795,786453743240,"House No 176, Street 12",Tamil Nadu
HD020,Gita Banerjee,1992-10-10,98765ABCDE,F,39229703681986,311828358725,"House No 432, Street 18",West Bengal
