id,patient_id,hospital_id,name,dob,mobile,gender,abha_number,address,state
1,HA001,hospital_a,Ramesh Singh,1985-03-15,9876543210,M,12-3456-7890-1234,123 MG Road Mumbai,Maharashtra
2,HA002,hospital_a,Priya Sharma,1990-07-22,9123456789,F,12-3456-7890-2345,456 Park Street Delhi,Delhi
3,HA003,hospital_a,Vijay Kumar,1978-11-30,9234567890,M,12-3456-7890-3456,789 Anna Salai Chennai,Tamil Nadu
4,HA004,hospital_a,Amit Kumar,1982-01-15,9345123456,M,12-3456-7890-4567,101 Brigade Road Bangalore,Karnataka
5,HA005,hospital_a,Sunita Gupta,1995-09-05,9456789012,F,12-3456-7890-5678,202 Civil Lines Jaipur,Rajasthan
6,HA006,hospital_a,Mohammad Khan,1988-04-12,9567890123,M,12-3456-7890-6789,303 Banjara Hills Hyderabad,Telangana
7,HA007,hospital_a,Lakshmi Narayan,1975-06-25,9678901234,F,12-3456-7890-7890,404 Salt Lake Kolkata,West Bengal
8,HA008,hospital_a,Anita Desai,1992-12-10,9789012345,F,12-3456-7890-8901,505 Law Garden Ahmedabad,Gujarat
9,HA009,hospital_a,Rahul Verma,1998-02-28,9890123456,M,12-3456-7890-9012,606 Sadar Bazar Lucknow,Uttar Pradesh
10,HA010,hospital_a,Suresh Patel,1980-08-18,9901234567,M,12-3456-7890-0123,707 FC Road Pune,Maharashtra
11,HB001,hospital_b,Ramehs Singh,1985-03-15,+91-9876543210,M,12-3456-7890-1234,"123 MG Road, Mumbai",Maharashtra
12,HB002,hospital_b,Prya Sharma,1990-07-22,9123456789,F,12-3456-7890-2345,"456 Park St, New Delhi",Delhi
13,HB003,hospital_b,Wijay Kumar,1978-11-30,9234567890,M,12-3456-7890-3456,789 Ana Salai Chennai,Tamil Nadu
14,HB004,hospital_b,Amit Kumarr,1982-01-15,9345123456,M,12-3456-7890-4567,101 Brigade Rd Bangalore,Karnataka
15,HB005,hospital_b,Suneeta Gupta,1995-09-05,9456789012,F,12-3456-7890-5678,202 Civil Line Jaipur,Rajasthan
16,HB006,hospital_b,Amit Patel,1992-05-10,9345678901,M,12-3456-7890-1111,111 Satellite Road Ahmedabad,Gujarat
17,HB007,hospital_b,Sneha Reddy,1989-11-20,9456789012,F,12-3456-7890-2222,222 Jubilee Hills Hyderabad,Telangana
18,HB008,hospital_b,Vikram Singh,1983-03-08,9567890123,M,12-3456-7890-3333,333 Gomti Nagar Lucknow,Uttar Pradesh
19,HB009,hospital_b,Kavita Krishnan,1979-07-14,9678901234,F,12-3456-7890-4444,444 Adyar Chennai,Tamil Nadu
20,HB010,hospital_b,Rohan Das,1996-09-30,9789012345,M,12-3456-7890-5555,555 Ballygunge Kolkata,West Bengal
21,HA011,hospital_a,Riya Gupta,1985-10-26,7340109331,F,141401,"House No 369, Street 11",Bihar
22,HA012,hospital_a,Antia Sharma,1972-12-16,742171617,F,71478482787854,"House No 290, Street 6",Maharashtra
23,HA013,hospital_a,Ramehs Malhotra,1984-02-03,7470384348,M,86529394595101,"House No 36, Street 13",Bihar
24,HA014,hospital_a,Siya Gupta,2008-09-08,0718047898,F,41959610766999,"House No 101, Street 12",Delhi
25,HA015,hospital_a,Ramesh Verma,2009-12-30,9874214071,F,28862737807534,"House No 628, Street 8",Delhi
26,HA016,hospital_a,Mahesh Patel,2017-08-06,7351660074,M,22545871044567,"House No 49, Street 5",Karnataka
27,HA017,hospital_a,Sumit Singh,1997-03-16,8464549911,F,74680124430252,"House No 439, Street 4",Maharashtra
28,HA018,hospital_a,Ryia Banerjee,1897-08-04,9309341624,M,161381,"House No 967, Street 14",Karnataka
29,HA019,hospital_a,nAita Gupta,1885-02-11,8338235122,F,73376701736414,"House No 976, Street 18",Maharashtra
30,HA020,hospital_a,Siya Verma,2023-07-16,7943504323,M,36403955987280,"House No 142, Street 11",West Bengal
31,HB011,hospital_b,Sobhit Malhotra,1970-02-04,6804503904,F,481654,"House No 214, Street 14",Uttar Pradesh
32,HB012,hospital_b,Gita Gupta,1948-09-20,9245115993,F,43180261637098,"House No 643, Street 7",Bihar
